rows,cols,beta,edge
SID31009,SID31071,63.0083471289352,SID31009-SID31071
SID31009,SID31328,62.6795820643551,SID31009-SID31328
SID31009,SID31333,62.1020428943559,SID31009-SID31333
SID31021,SID31360,62.9553925869324,SID31021-SID31360
SID31333,SID31360,63.8525068192818,SID31333-SID31360
SID31021,SID31428,60.3792168774433,SID31021-SID31428
SID31129,SID31428,61.5071905482192,SID31129-SID31428
SID31333,SID31452,62.3959009170621,SID31333-SID31452
SID31021,SID31512,60.2734996998196,SID31021-SID31512
SID31071,SID31512,60.3615107630039,SID31071-SID31512
SID31129,SID31512,61.0162574637666,SID31129-SID31512
SID31333,SID31512,64.5207484540644,SID31333-SID31512
SID31360,SID31512,60.7807407944066,SID31360-SID31512
SID31428,SID31512,56.3853985868468,SID31428-SID31512
SID31009,SID31519,61.2838590788775,SID31009-SID31519
SID31021,SID31519,62.6430969294673,SID31021-SID31519
SID31071,SID31519,62.5154944273402,SID31071-SID31519
SID31328,SID31519,60.3793511027417,SID31328-SID31519
SID31452,SID31519,64.4925663517437,SID31452-SID31519
SID31129,SID31637,63.1661410323713,SID31129-SID31637
SID31416,SID31637,64.7330650948912,SID31416-SID31637
SID31637,SID31711,64.7405867745898,SID31637-SID31711
SID31071,SID31714,63.9702577670031,SID31071-SID31714
SID31129,SID31714,56.403703581315,SID31129-SID31714
SID31428,SID31714,60.7909433284639,SID31428-SID31714
SID31512,SID31714,57.0513346599286,SID31512-SID31714
SID31637,SID31714,56.9904060515552,SID31637-SID31714
SID31009,SID31766,63.5436401255663,SID31009-SID31766
SID31129,SID31766,62.757313845999,SID31129-SID31766
SID31428,SID31766,55.911209176833,SID31428-SID31766
SID31512,SID31766,58.0392066762737,SID31512-SID31766
SID31714,SID31766,64.6510455111956,SID31714-SID31766
SID31129,SID530052,58.3522306719213,SID31129-SID530052
SID31416,SID530052,63.592358835296,SID31416-SID530052
SID31428,SID530052,63.0174293357412,SID31428-SID530052
SID31512,SID530052,61.2974896899667,SID31512-SID530052
SID31637,SID530052,58.8469365091653,SID31637-SID530052
SID31714,SID530052,55.1989722181655,SID31714-SID530052
SID31512,SID530074,62.9672915386124,SID31512-SID530074
SID31009,SID530075,57.7423293298639,SID31009-SID530075
SID31071,SID530075,60.1335582659816,SID31071-SID530075
SID31328,SID530075,58.5753211306515,SID31328-SID530075
SID31333,SID530075,60.888550085649,SID31333-SID530075
SID31360,SID530075,61.1740449327573,SID31360-SID530075
SID31428,SID530075,63.1661778651636,SID31428-SID530075
SID31452,SID530075,62.0210993094,SID31452-SID530075
SID31512,SID530075,61.9238597660652,SID31512-SID530075
SID31519,SID530075,57.0752056719757,SID31519-SID530075
SID31749,SID530075,63.2590793605267,SID31749-SID530075
SID31766,SID530075,60.8614321185218,SID31766-SID530075
SID31009,SID530119,63.1671176019235,SID31009-SID530119
SID31071,SID530119,61.0472156986805,SID31071-SID530119
SID31519,SID530119,61.422579648528,SID31519-SID530119
SID530075,SID530119,59.3456704860824,SID530075-SID530119
SID31009,SID530177,64.7415340624211,SID31009-SID530177
SID31021,SID530177,62.7812990738928,SID31021-SID530177
SID31071,SID530177,62.4134404270319,SID31071-SID530177
