Project_ID	Run_accession	Subject_ID
PRJEB5224	ERR414230	MH0192
PRJEB5224	ERR414231	MH0192
PRJEB5224	ERR414232	MH0221
PRJEB5224	ERR414233	MH0222
PRJEB5224	ERR414234	MH0234
PRJEB5224	ERR414235	MH0238
PRJEB5224	ERR414236	MH0245
PRJEB5224	ERR414237	MH0246
PRJEB5224	ERR414238	MH0246
PRJEB5224	ERR414239	MH0252
PRJEB5224	ERR414242	MH0261
PRJEB5224	ERR414244	MH0264
PRJEB5224	ERR414245	MH0265
PRJEB5224	ERR414246	MH0266
PRJEB5224	ERR414247	MH0268
PRJEB5224	ERR414252	MH0281
PRJEB5224	ERR414253	MH0283
PRJEB5224	ERR414254	MH0283
PRJEB5224	ERR414256	MH0290
PRJEB5224	ERR414257	MH0293
PRJEB5224	ERR414258	MH0293
PRJEB5224	ERR414259	MH0297
PRJEB5224	ERR414260	MH0297
PRJEB5224	ERR414261	MH0298
PRJEB5224	ERR414262	MH0299
PRJEB5224	ERR414263	MH0301
PRJEB5224	ERR414264	MH0303
PRJEB5224	ERR414266	MH0309
PRJEB5224	ERR414267	MH0310
PRJEB5224	ERR414268	MH0311
PRJEB5224	ERR414271	MH0315
PRJEB5224	ERR414272	MH0315
PRJEB5224	ERR414273	MH0319
PRJEB5224	ERR414274	MH0323
PRJEB5224	ERR414275	MH0325
PRJEB5224	ERR414276	MH0326
PRJEB5224	ERR414277	MH0327
PRJEB5224	ERR414278	MH0328
PRJEB5224	ERR414279	MH0329
PRJEB5224	ERR414280	MH0330
PRJEB5224	ERR414281	MH0332
PRJEB5224	ERR414282	MH0334
PRJEB5224	ERR414283	MH0335
PRJEB5224	ERR414287	MH0338
PRJEB5224	ERR414289	MH0340
PRJEB5224	ERR414291	MH0342
PRJEB5224	ERR414292	MH0343
PRJEB5224	ERR414293	MH0345
PRJEB5224	ERR414295	MH0347
PRJEB5224	ERR414296	MH0348
PRJEB5224	ERR414297	MH0349
PRJEB5224	ERR414298	MH0350
PRJEB5224	ERR414299	MH0351
PRJEB5224	ERR414300	MH0351
PRJEB5224	ERR414301	MH0354
PRJEB5224	ERR414303	MH0356
PRJEB5224	ERR414304	MH0357
PRJEB5224	ERR414305	MH0358
PRJEB5224	ERR414306	MH0359
PRJEB5224	ERR414307	MH0360
PRJEB5224	ERR414308	MH0361
PRJEB5224	ERR414310	MH0363
PRJEB5224	ERR414313	MH0366
PRJEB5224	ERR414314	MH0367
PRJEB5224	ERR414317	MH0370
PRJEB5224	ERR414319	MH0372
PRJEB5224	ERR414327	MH0379
PRJEB5224	ERR414330	MH0382
PRJEB5224	ERR414331	MH0383
PRJEB5224	ERR414340	MH0392
PRJEB5224	ERR414348	MH0400
PRJEB5224	ERR414349	MH0401
PRJEB5224	ERR414350	MH0401
PRJEB2054	ERR011087	MH0001
PRJEB2054	ERR011089	MH0002
PRJEB2054	ERR011092	MH0003
PRJEB2054	ERR011095	MH0004
PRJEB2054	ERR011097	MH0005
PRJEB2054	ERR011099	MH0006
PRJEB2054	ERR011105	MH0007
PRJEB2054	ERR011107	MH0008
PRJEB2054	ERR011109	MH0009
PRJEB2054	ERR011112	MH0010
PRJEB2054	ERR011114	MH0011
PRJEB2054	ERR011117	MH0012
PRJEB2054	ERR011124	MH0013
PRJEB2054	ERR011126	MH0014
PRJEB2054	ERR011129	MH0015
PRJEB2054	ERR011131	MH0016
PRJEB2054	ERR011134	MH0017
PRJEB2054	ERR011136	MH0018
PRJEB2054	ERR011138	MH0019
PRJEB2054	ERR011140	MH0020
PRJEB2054	ERR011142	MH0021
PRJEB2054	ERR011144	MH0022
PRJEB2054	ERR011146	MH0023
PRJEB2054	ERR011148	MH0024
PRJEB2054	ERR011150	MH0025
PRJEB2054	ERR011152	MH0026
PRJEB2054	ERR011154	MH0027
PRJEB2054	ERR011156	MH0028
PRJEB2054	ERR011158	MH0030
PRJEB2054	ERR011160	MH0031
PRJEB2054	ERR011162	MH0032
PRJEB2054	ERR011164	MH0033
PRJEB2054	ERR011166	MH0034
PRJEB2054	ERR011168	MH0035
PRJEB2054	ERR011170	MH0036
PRJEB2054	ERR011172	MH0037
PRJEB2054	ERR011174	MH0038
PRJEB2054	ERR011176	MH0039
PRJEB2054	ERR011178	MH0040
PRJEB2054	ERR011180	MH0041
PRJEB2054	ERR011182	MH0042
PRJEB2054	ERR011184	MH0043
PRJEB2054	ERR011186	MH0044
PRJEB2054	ERR011188	MH0045
PRJEB2054	ERR011190	MH0046
PRJEB2054	ERR011192	MH0047
PRJEB2054	ERR011194	MH0048
PRJEB2054	ERR011196	MH0049
PRJEB2054	ERR011198	MH0050
PRJEB2054	ERR011200	MH0051
PRJEB2054	ERR011202	MH0052
PRJEB2054	ERR011204	MH0053
PRJEB2054	ERR011206	MH0054
PRJEB2054	ERR011208	MH0055
PRJEB2054	ERR011210	MH0056
PRJEB2054	ERR011212	MH0057
PRJEB2054	ERR011214	MH0058
PRJEB2054	ERR011216	MH0059
PRJEB2054	ERR011218	MH0060
PRJEB2054	ERR011220	MH0061
PRJEB2054	ERR011222	MH0062
PRJEB2054	ERR011224	MH0063
PRJEB2054	ERR011226	MH0064
PRJEB2054	ERR011228	MH0065
PRJEB2054	ERR011230	MH0066
PRJEB2054	ERR011232	MH0067
PRJEB2054	ERR011234	MH0068
PRJEB2054	ERR011236	MH0069
PRJEB2054	ERR011239	MH0070
PRJEB2054	ERR011241	MH0071
PRJEB2054	ERR011243	MH0072
PRJEB2054	ERR011245	MH0073
PRJEB2054	ERR011247	MH0074
PRJEB2054	ERR011249	MH0075
PRJEB2054	ERR011251	MH0076
PRJEB2054	ERR011253	MH0077
PRJEB2054	ERR011255	MH0078
PRJEB2054	ERR011257	MH0079
PRJEB2054	ERR011259	MH0080
PRJEB2054	ERR011261	MH0081
PRJEB2054	ERR011263	MH0082
PRJEB2054	ERR011265	MH0083
PRJEB2054	ERR011267	MH0084
PRJEB2054	ERR011269	MH0085
PRJEB2054	ERR011271	MH0086
